#Mod_Priority,#Mod_Name,#Primary_Category,#Mod_Nexus_URL,#Mod_Version
64,M.U.X. Series - Interface Overhaul,User Interfaces,https://www.nexusmods.com/newvegas/mods/80642,8.2.0.0
65,M.U.X. Series - Weapon Icons,User Interfaces,https://www.nexusmods.com/newvegas/mods/78102,9.1.0.0
66,Vanilla_UI_Extension,,,d2024.10.28.0
67,New Vegas Animation Overhaul Guns,Animation,https://www.nexusmods.com/newvegas/mods/86354,1.1.3.0
68,Clean Companion Wheel,User Interfaces,https://www.nexusmods.com/newvegas/mods/70486,1.0.0.0
69,World Map HD,Models and Textures,https://www.nexusmods.com/newvegas/mods/82979,1.0.0.0
70,High Resolution Screens,User Interfaces,https://www.nexusmods.com/newvegas/mods/77989,1.1.0.0
71,Vanilla Fonts Revisited,User Interfaces,https://www.nexusmods.com/newvegas/mods/85136,6.0.0.0FONTS-5BETA
72,Quickthrow Stylized HUD Icons,User Interfaces,https://www.nexusmods.com/newvegas/mods/66876,1.1.0.0
73,3D Rain,Visuals and Graphics,https://www.nexusmods.com/newvegas/mods/79652,2.0.0.0
74,LOD Fixes and Improvements - NVSE,Bug Fixes,https://www.nexusmods.com/newvegas/mods/84171,1.3.1.0
75,FNVLODGen,Utilities,https://www.nexusmods.com/newvegas/mods/58562,1.1.0.0
76,Much Needed LOD,Models and Textures,https://www.nexusmods.com/newvegas/mods/64805,1.2.0.0
77,Much Needed LOD fixed rocks color,Patches,https://www.nexusmods.com/newvegas/mods/81524,1.0.0.0
78,LOD additions and improvements,Models and Textures,https://www.nexusmods.com/newvegas/mods/61206,f1.07
79,LOD Additions and Improvements - Billboard LOD Fix,Models and Textures,https://www.nexusmods.com/newvegas/mods/84132,0.1.0.0
80,FNV LOD Supplementation,Miscellaneous,https://www.nexusmods.com/newvegas/mods/72099,Overpass0.01
81,TCM's LOD Overhaul,Models and Textures,https://www.nexusmods.com/newvegas/mods/70155,2.0.0.0
82,More LODs Additions and fixes,Models and Textures,https://www.nexusmods.com/newvegas/mods/81751,1.9.0.0
83,Wasted LOD - Cliffs of Mojave,Environment,https://www.nexusmods.com/newvegas/mods/83316,1.0.0.0
84,Different LOD mods little tweaks and additions,Patches,https://www.nexusmods.com/newvegas/mods/81981,1.4.0.0
85,LODIFY - Level of detail improvement for your Fallout (TTW And NV Lods),Visuals and Graphics,https://www.nexusmods.com/newvegas/mods/84165,0.8.1.0
86,Decent LOD Kit,Models and Textures,https://www.nexusmods.com/newvegas/mods/88979,f1.05
87,Nuclear LOD,Visuals and Graphics,https://www.nexusmods.com/newvegas/mods/88902,4.1.0.0
88,TTW Fallout 3 LOD,Models and Textures,https://www.nexusmods.com/newvegas/mods/90327,1.7.0.0
89,Viva New Vegas Resources,Modders resources and tutorials,https://www.nexusmods.com/newvegas/mods/79358,1.0.0.0
90,High Res Vanilla Posters and Graffiti,Models and Textures,https://www.nexusmods.com/newvegas/mods/64589,0.8.0.0
91,NMCs Textures NV MEDIUM Pack,,https://www.nexusmods.com/newvegas/mods/43135,1.0.0.0
92,Improved Lighting Shaders,Visuals and Graphics,https://www.nexusmods.com/newvegas/mods/69833,1.5.0.0b4a
93,Mojave Sandy Desert,Models and Textures,https://www.nexusmods.com/newvegas/mods/55328,2.10.0.0
94,Truly HD Main Menu and Loadscreens (incl. TTW),Models and Textures,https://www.nexusmods.com/newvegas/mods/82972,1.0.0.0
95,High Res Local Maps,User Interfaces,https://www.nexusmods.com/newvegas/mods/77963,1.2.0.0
96,WTH - Weapon Textures from Heaven,Models and Textures,https://www.nexusmods.com/newvegas/mods/69837,1.1.0.0
97,Power Armor Visual Enhancement (PAVE),Models and Textures,https://www.nexusmods.com/newvegas/mods/74786,1.0.0.0
98,Classic Canteen (Water Flask Retexture),Models and Textures,https://www.nexusmods.com/newvegas/mods/80409,1.1.0.0
99,Casino Suits Fix,Bug Fixes,https://www.nexusmods.com/newvegas/mods/45410,1.2.0.0
100,All Non DLC Clothing Retex 4K-2K,Models and Textures,https://www.nexusmods.com/newvegas/mods/74315,1.0.0.0
101,All DLC Clothing Retex 4K-2K,Models and Textures,https://www.nexusmods.com/newvegas/mods/74415,1.0.0.0
102,NCR Trooper Overhaul,Armour,https://www.nexusmods.com/newvegas/mods/52721,update
103,NCR Trooper Overhaul - Distributed,Armour,https://www.nexusmods.com/newvegas/mods/54978,1.0.0.0
104,Motorcycles Remastered,Models and Textures,https://www.nexusmods.com/newvegas/mods/81262,1.1.0.0
105,Motorcycle Remastered - Retextured,Models and Textures,https://www.nexusmods.com/newvegas/mods/81343,1.0.0.0
106,FNV Realistic Wasteland Lighting,Overhauls,https://www.nexusmods.com/newvegas/mods/52037,5.542.0.0
107,Strip Lights Region Fix,Visuals and Graphics,https://www.nexusmods.com/newvegas/mods/73596,1.3.4.0
108,Hit - Cowboy Victor,Models and Textures,https://www.nexusmods.com/newvegas/mods/76586,1.0.0.0
109,EXE - Effect teXtures Enhanced,Models and Textures,https://www.nexusmods.com/newvegas/mods/62989,2.0.0.0
110,IMPACT,Miscellaneous,https://www.nexusmods.com/newvegas/mods/57113,2.0.0.0
111,Retro Radscorpions V1,Models and Textures,https://www.nexusmods.com/fallout3/mods/521,d2025.6.9.0
112,Pause Menu HD,User Interfaces,https://www.nexusmods.com/newvegas/mods/63934,1.0.0.0
113,Subtle Camera Motion,Animation,https://www.nexusmods.com/newvegas/mods/67728,1.0.0.0
114,Fallout Character Overhaul,Overhauls,https://www.nexusmods.com/newvegas/mods/54460,f3.01
115,FCO - The Last Few Edits,NPC,https://www.nexusmods.com/newvegas/mods/63465,1.2.0.0
116,FCO Fallout Character Overhaul - Compatiblity Patches for YUP and More,Patches,https://www.nexusmods.com/newvegas/mods/61689,d2024.10.29.0
117,Viewmodel Shading Fix - NVSE,Bug Fixes,https://www.nexusmods.com/newvegas/mods/84781,2.1.0.0
118,Lucky 38 Creepy Ambience Fix,Sounds and Music,https://www.nexusmods.com/newvegas/mods/60513,1.1.0.0
119,Lucky 38 Suite No Floating Particles,Buildings,https://www.nexusmods.com/newvegas/mods/35236,d2024.10.29.0
120,Lucky 38 E3 Lights Restored,Miscellaneous,https://www.nexusmods.com/newvegas/mods/66725,0.1.0.0
121,Lucky 38 Suite Reloaded v5,Player Homes,https://www.nexusmods.com/newvegas/mods/66087,5.4.1.0
122,Project Reality Footsteps,,https://www.nexusmods.com/newvegas/mods/68430,2.1.0.0
123,Footsteps Volume Fixes - Project Reality Footsteps Version,Sounds and Music,https://www.nexusmods.com/newvegas/mods/76970,f1.01
124,All Weapon Sounds Overhaul,Weapons,https://www.nexusmods.com/newvegas/mods/62870,Fixed
125,All Weapon Sound Overhaul Modern Edition Redone - AWSOMER,Sounds and Music,https://www.nexusmods.com/newvegas/mods/84235,1.4.0.0
126,My Chrysalis Highwayman at The Wrecked Highwayman location,Sounds and Music,https://www.nexusmods.com/newvegas/mods/66328,1.0.0.0
127,Pip-Boy 2501,,https://www.nexusmods.com/newvegas/mods/65252,d2022.5.25.0
128,Handheld Fixes,Vehicles,https://www.nexusmods.com/newvegas/mods/76009,f0.09-BETA
129,YAPR - Yet Another Pipboy Remover,Vehicles,https://www.nexusmods.com/newvegas/mods/76009,d2022.5.25.0
130,Mobile Pip-Boy Light - NVSE,Visuals and Graphics,https://www.nexusmods.com/newvegas/mods/81203,2.1.0.0
131,Pip-Boy Shading Fix NVSE,Bug Fixes,https://www.nexusmods.com/newvegas/mods/77957,2.0.0.0
132,Pipboy Glove remover,Clothing,https://www.nexusmods.com/newvegas/mods/34734,d2025.5.25.0
133,WAP AR Series Replacer,Weapons,https://www.nexusmods.com/newvegas/mods/74590,1.5.0.0
134,WAP NVTS Patch,Weapons,https://www.nexusmods.com/newvegas/mods/81172,1.0.0.0
135,Another Millenia,Weapons,https://www.nexusmods.com/newvegas/mods/76133,2.5.0.0b
136,Another Millenia Gun Add-on,Weapons,https://www.nexusmods.com/newvegas/mods/77358,2.0.0.0a
137,Another Millenia Shop Add-on,NPC - Vendors,https://www.nexusmods.com/newvegas/mods/81057,1.5.0.0
138,BH SIG MCX Spear NGSW - Assault Rifle,Weapons,https://www.nexusmods.com/newvegas/mods/78045,f1.01
139,HK G36K,Weapons,https://www.nexusmods.com/newvegas/mods/56125,1.0.0.0
140,Another Millenia G36 Animation Replacer (MY VERSION),Animation,https://www.nexusmods.com/newvegas/mods/82895,5.7.0.0
141,CETME LC 2 Spanish assault rifle,Weapons,https://www.nexusmods.com/newvegas/mods/47934,0.1.0.0
142,Malorian Arms 3516 - The King's Rebel Path,Weapons,https://www.nexusmods.com/newvegas/mods/79519,1.2.0.0
143,Ani_Cyberpunk Malorian Arms 3516 kNVSE Set,Animation,https://www.nexusmods.com/newvegas/mods/79526,1.3.0.0
144,Hit - Crossbow,Weapons,https://www.nexusmods.com/newvegas/mods/77649,f1.01
145,Jury-rigged Alien Blaster,Weapons,https://www.nexusmods.com/newvegas/mods/70960,1.0.1.0
146,Wasteland AR Pack,Weapons,https://www.nexusmods.com/newvegas/mods/81870,f1.03
147,B42 Dropmag Another Millenia Patch,Gameplay Effects and Changes,https://www.nexusmods.com/newvegas/mods/79678,2.3.0.0b
148,556 Assault Carbine and Magazine Consistency,Weapons,https://www.nexusmods.com/newvegas/mods/79344,1.0.0.0
149,Realistic Weapons Damages - New Vegas,Gameplay Effects and Changes,https://www.nexusmods.com/newvegas/mods/35335,d2024.10.29.0
150,Weapon Mesh Improvement Mod,Bug Fixes,https://www.nexusmods.com/newvegas/mods/65052,1.3.0.0
151,Laser Weapon Iron Sights,,https://www.nexusmods.com/newvegas/mods/70790,1.1.0.0
152,Manual Reload and Ammo Memory,Gameplay Effects and Changes,https://www.nexusmods.com/newvegas/mods/65853,2.0.0.0
153,Decrucifixion,Gameplay Effects and Changes,https://www.nexusmods.com/newvegas/mods/39289,1.1.0.0
154,Ghouls Inflict Radiation Damage - ESPless,Gameplay Effects and Changes,https://www.nexusmods.com/newvegas/mods/77401,3.2.0.0
155,Retrievable Throwables Reforged,Weapons,https://www.nexusmods.com/newvegas/mods/66461,2.2.0.0
156,Cookable Grenades,Gameplay Effects and Changes,https://www.nexusmods.com/newvegas/mods/81678,1.0.0.0
157,Canvas Backpacks - FNV - TTW,Clothing,https://www.nexusmods.com/newvegas/mods/71510,2.0.0.0
158,CIBS - Customizable Integrated Backpack System,Armour,https://www.nexusmods.com/newvegas/mods/75218,4.1.4.0
159,True Movement,Gameplay Effects and Changes,https://www.nexusmods.com/newvegas/mods/88804,1.51.0.0
160,HIPControl - Weapon Idle Position Adjuster - ESPless,Gameplay Effects and Changes,https://www.nexusmods.com/newvegas/mods/81967,0.1.0.0b3
161,JIP Selective-Fire,Weapons,https://www.nexusmods.com/newvegas/mods/49478,1.21.0.0
162,NCR Salute - Espless,Guilds/Factions,https://www.nexusmods.com/newvegas/mods/86809,1.3.0.0
163,Legion Salute - Espless,Guilds/Factions,https://www.nexusmods.com/newvegas/mods/86820,1.2.0.0
164,NVTS - New Vegas True Scopes,Visuals and Graphics,https://www.nexusmods.com/newvegas/mods/74824,1.0.0.0
165,Hit - Locomotion,Animation,https://www.nexusmods.com/newvegas/mods/76097,1.1.0.0
166,Complete Respec,Gameplay Effects and Changes,https://www.nexusmods.com/newvegas/mods/59629,3.22.0.0
167,B42 Quickthrow - an alternative grenade hotkey mod,Gameplay Effects and Changes,https://www.nexusmods.com/newvegas/mods/66686,3.1.0.0b
168,B42 Notify - Corner Messages Overhaul - ESPless,User Interfaces,https://www.nexusmods.com/newvegas/mods/80085,0.2.0.0b
169,B42 Inspect - aka Animated Ammo and Weapon Condition Checking,Animation,https://www.nexusmods.com/newvegas/mods/71624,f1.02
170,B42 Dropmag and One in the chamber,Gameplay Effects and Changes,https://www.nexusmods.com/newvegas/mods/75461,1.1.0.0
171,B42 Descriptions aka Pip-Info,Gameplay Effects and Changes,https://www.nexusmods.com/newvegas/mods/68049,0.3.0.0
172,B42 True Leaning - Contextual - ESPless,Gameplay Effects and Changes,https://www.nexusmods.com/newvegas/mods/81872,0.20.0.0b
173,B42 Wristwatch,Gameplay Effects and Changes,https://www.nexusmods.com/newvegas/mods/67890,1.2.0.0
174,Recent Loot Log - ESPless,User Interfaces,https://www.nexusmods.com/newvegas/mods/80180,0.1.0.0b
175,Companion Equipment Modifier,Companions,https://www.nexusmods.com/newvegas/mods/47615,1.0.0.0
176,JIP MiniMap,User Interfaces,https://www.nexusmods.com/newvegas/mods/64596,1.50.0.0
177,FlashlightNVSE,,https://www.nexusmods.com/newvegas/mods/39968,1.22.0.0
178,Flashlight NVSE Spanish Traduccion,Ammo,https://www.nexusmods.com/newvegas/mods/84124,1.22.0.0
179,DM's 188 Trading Post Highway to Hell,Overhauls,https://www.nexusmods.com/newvegas/mods/83509,"0,2"
180,SUPER Lively New Vegas,Overhauls,https://www.nexusmods.com/newvegas/mods/86605,1.3.0.0
181,SUPER Lively Goodsprings,Overhauls,https://www.nexusmods.com/newvegas/mods/86320,1.3.1.0
182,SUPER Lively Travels,Overhauls,https://www.nexusmods.com/newvegas/mods/87344,1.0.0.0
183,Simple Open Strip,Overhauls,https://www.nexusmods.com/newvegas/mods/73127,2.0.0.0a
184,BSO - A Brightweight Strip Overhaul and Brightweight Open,Overhauls,https://www.nexusmods.com/newvegas/mods/72904,1.25.0.0
185,Nova Arizona - A Legion Lands Expansion,Overhauls,https://www.nexusmods.com/newvegas/mods/85915,0.24.0.0
186,Ultimate Invisible Wall Remover,Miscellaneous,https://www.nexusmods.com/newvegas/mods/48511,1.1.0.0
187,NV Monorail Project,Vehicles,https://www.nexusmods.com/newvegas/mods/66243,f3.00
188,Imperium Radio - Legion Radio Station,Radio stations,https://www.nexusmods.com/newvegas/mods/85830,1.4.0.0
189,Lime's Old Mormon Fort Overhaul,Overhauls,https://www.nexusmods.com/newvegas/mods/75403,1.1.2.0
190,Simple Freeside Overhaul,Overhauls,https://www.nexusmods.com/newvegas/mods/84468,1.2.0.0
191,New Vegas Suburban Overhaul,Buildings,https://www.nexusmods.com/newvegas/mods/80526,1.0.0.0
192,B42 Interact - Animated Items and Interactions Framework - ESPless,Animation,https://www.nexusmods.com/newvegas/mods/83119,0.16.0.0b
193,Animated Ingestibles,Animation,https://www.nexusmods.com/newvegas/mods/70139,4.1.1.0
194,Falling And Landing Animated,Animation,https://www.nexusmods.com/newvegas/mods/76854,1.1.0.0
195,Diagonal movement,Animation,https://www.nexusmods.com/newvegas/mods/64333,0.6.0.0b
196,NV Compatibility Skeleton,,https://www.nexusmods.com/newvegas/mods/68776,13.0.0.0
197,Player Headtracking,Animation,https://www.nexusmods.com/newvegas/mods/66741,0.1.0.0b
198,Enhanced Movement,Animation,https://www.nexusmods.com/newvegas/mods/85459,1.24.0.0
199,New Vegas Animation Overhaul - Melee,Animation,https://www.nexusmods.com/newvegas/mods/88830,1.0.2.0
200,New Vegas Animation Overhaul (NVAO) - Throwverhaul,Animation,https://www.nexusmods.com/newvegas/mods/91374,1.1.0.0
201,Titans of The New West,Models and Textures,https://www.nexusmods.com/newvegas/mods/78688,2.1.46.0
202,Mojave Outpost Friendly Giants Animation,Animation,https://www.nexusmods.com/newvegas/mods/87015,f1.00
203,Mr House Animated Interactive Face,Animation,https://www.nexusmods.com/newvegas/mods/72885,f1.00
204,Securitrons On Alert,Models and Textures,https://www.nexusmods.com/newvegas/mods/69245,Translation
205,Camp McCarran Animated Monorail,Animation,https://www.nexusmods.com/newvegas/mods/70213,f2.00-update
206,Hit - Millenia Animations - Part 1,Animation,https://www.nexusmods.com/newvegas/mods/77817,1.1.0.0
207,Hit - Millenia Animations - Part 2,Animation,https://www.nexusmods.com/newvegas/mods/85192,1.2.0.0
208,Hit - Service Rifle Anim Set Redux,Animation,https://www.nexusmods.com/newvegas/mods/84119,f1.01
209,Hit - Daniel's Hat Animated,Animation,https://www.nexusmods.com/newvegas/mods/87498,1.0.0.0
210,Hit - B42 Interact Skinning,Animation,https://www.nexusmods.com/newvegas/mods/83161,1.0.0.0
211,I Fought the Law - NCR Start,Gameplay Effects and Changes,https://www.nexusmods.com/newvegas/mods/52785,1.0.0.0
212,Chinese Stealth Armor Restoration,Armour,https://www.nexusmods.com/newvegas/mods/64239,1.0.0.0S
213,Gauntlets Debulked,Models and Textures,https://www.nexusmods.com/newvegas/mods/80615,1.0.0.0
214,PM's HD Legion Overhaul,Models and Textures,https://www.nexusmods.com/newvegas/mods/67595,1.1.0.0
215,3rd Person Camera Overhaul,General,https://www.nexusmods.com/newvegas/mods/79883,2.5.0.0
216,FOV Slider,User Interfaces,https://www.nexusmods.com/newvegas/mods/55085,2.9.0.0
217,New Vegas - Enhanced Camera,Gameplay Effects and Changes,https://www.nexusmods.com/newvegas/mods/55334,1.4.0.0c
218,The Lucky 38 Map Marker,General,https://www.nexusmods.com/newvegas/mods/48263,1.0.0.0
219,ED-E be quiet,Sounds and Music,https://www.nexusmods.com/newvegas/mods/45722,2.0.0.0
220,Radiant Infinium - Endless Questing Framework,Overhauls,https://www.nexusmods.com/newvegas/mods/83610,2.2.0.0
221,FNVLODGen Output - Terrain,,,
